128,Arthropoda,Artiopoda,Aglaspidida,Tremaglaspidiae,Tremaglaspis sp.,particle feeder (bc natant hypostome?) ,"Van Roy et al., 2015, Ortega-Hernández et al., 2016",Lower part of the Fezouata Formation (?),"natant hypostome, (Van Roy, 2005, hypostome to handle bigger food elements than chulpacaris ?, maybe predator/scavenger like most other aglaspids ?)",Tremaglaspis 'vanroyi' n.n.,45-85 mm,,,,,,,,
129,Arthropoda,Artiopoda,-,-,Possible retifaciid,"epibenthic, see remarks","Van Roy et al., 2015",,"Youngest occurrence, other species from Chengjiang of same group could be benthic scavenger of soft-bodied organisms and/or eat orgabic matter, p-ê petits  organismes à coquille (Zhang et al., 2022)",,,,,,,,,,
130,Arthropoda,Artiopoda ,-,-,Cheloniellid,"epibenthic, predator (xiphosuran-like gnathobases for masticating food) or scavenger on or a bit in the substrate (a bit like xiphosurans) (Dunlop, 2002) predator, scavenger, eats small mobile invertebrates (Braddy and Dunlop, 2021)","Van Roy et al., 2015","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",Earliest occurrence,,12 -25 mm,,,,,,,,
131,Arthropoda,"Chelicerata (subphylum), Dekatriata (clade)",-,-,Chasmataspidid,"epibenthic, one species during the Devonian probably preyed on small infaunal and semi infaunal organisms such as bivalves and inarticulate brachiopods, but not much evidence (Poschmann et al., 2005), probably benthic predator with mode of life like xiphosurans, maybe ate small phyllocarid and ostracods, maybe worms like xiphosurans (Dunlop, 2002)","Van Roy et al., 2015",,"Earliest occurrence, Hoplitaspis would have been a predator of relatively soft epibenthic stuff, but other species later do something else ??",,12-16 mm,,,,,,,,
132,Arthropoda,"Chelicerata (subphylum), Dekatriata (clade)",-,Carcinosomatidae,?Carcinosoma aurorae,,"Van Roy et al., 2025",Lower part of the Fezouata Formation,"Earliest occurence, Very recent article, species added in list only a few days before submission",,,,,,,,,,
133,Arthropoda,"Chelicerata (subphylum), Dekatriata (clade), Sclerophorata (clade)",-,-,Eurypterid 1,"nektobenthic, predator, would eat trilobites and other eurypterids, potentially not very specialized, because the morphology of its appendices is not very specialized","Van Roy et al., 2015",,Earliest occurrence,,one jaw fragment 10mm long,,,,,,,,
134,Arthropoda,"Chelicerata (subphylum), Dekatriata (clade), Sclerophorata (clade)",-,-,Eurypterid 2,"nektobenthic, predator, would eat trilobites and other eurypterids, potentially not very specialized, because the morphology of its appendices is not very specialized","Van Roy et al., 2015",,Earliest occurrence,,,,,,,,,,
135,Arthropoda,"Chelicerata, Pycnogonida",-,-,Possible pycnogonid,"epibenthic, see remarks","Van Roy et al., 2015",,"current species eat algae, hydroids(lots), jellyfish, bryozoans, nudibranches, bivalves (parasites), gastropodes (observed), annelids, some dead amphipods and copepods ?, detritus (when nothing else ?), so generalists for the most part (Dietz et al., 2018) bryozans (Mckinney et al, 2003)",,,,,,,,,,
136,Arthropoda,"Chelicerata, Xiphosura",-,-,Xiphosurid,"epibenthic, selective ominvore, see remarks","Van Roy et al., 2015",Lower part of the Fezouata Formation,"Earliest occurrence, (Botton, 1984 - current species eat bivalves, worms, gastropods, shrimp-like stuff, copepods, isopods, plant material (algae ??), a bit of bryozoa, cirripedia, foraminifera, ) (Carmichael et al., 2009 - must eat combination of plant and animals it seems)",,"body-5(?)-10-40mm, with tail, up to 60mm",,,,,,,,
137,Arthropoda,Chelicerata ? (subphylum),,Mollisoniidae,Thelxiope sp.,"epibenthic, feeding uncertain","Van Roy et al., 2015; Aria et Caron, 2019 (supp.)","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation","Youngest occurrence, diet unknown",,10-40 mm (Photos Yale Peabody Museum),,,,,,,,
138,Arthropoda,Chelicerata ? (subphylum),,Mollisoniidae,Mollisonia sp. 1,"epibenthic, predatory ?? (one species in Aria et Caron, 2019), feeding too uncertain","Van Roy et al., 2015",,"Youngest occurrence,feeding unknown",,,,,,,,,,
139,Arthropoda,Chelicerata ? (subphylum),,Mollisoniidae,Mollisonia sp. 2,feeding too uncertain,"Van Roy et al., 2015",,"Youngest occurrence, feeding unknown",,,,,,,,,,
140,Arthropoda,Chelicerata (subphylum),,-,Basal chelicerate,feeding uncertain,"Van Roy et al., 2015",,"Earliest occurrence, too vague to be used",,,,,,,,,,
141,Arthropoda,Cirripedia (infraclass),,Lepadomorpha (suborder),Lepadomorph barnacle,"epibenthic, filter feeder (detritus, phytoplankton, zooplankton,  small crustacea, copepods, polychaetes, hydroids)(Lewis, 1981)","Van Roy et al., 2015",,,,"13 mm (Yale Peabody Museum, but Cirripedia?, don't know if lepadomorph)",,,,,,,,
142,Arthropoda,Dinocaridida ?,Radiodonta,Amplectobeluidae,amplectobeluids,nektonic carnivore,"Álvaro et al., 2022",,,,"appendage, average 40 mm long (Amplectobelua stephenensis)",,,,,,,,
143,Arthropoda,Dinocaridida ?,Radiodonta,-,Anomalocaris-like taxon,possibly nektonic carnivore like Anomalocaris ?,"Van Roy et al., 2015",,Youngest occurrence,,"most 300-600 mm, some 1m",,,,,,,,
144,Arthropoda,Dinocaridida ?,"Radiodonta, Anomalocaridids",Hurdiidae,Plasiacystis mobilis,filter feeder (mesoplankton),"Van Roy et al., 2015anomalocaridid, Van Roy et al., 2015 ; Potin et al., 2023",Lower part of the Fezouata Formation,Youngest occurrence,,2 m,,,,,,,,
145,Arthropoda,Dinocaridida ?,Radiodonta,Hurdiidae,Hurdiid 2,"predator that sifts sediments (so eats benthic stuff), epibenthic (since its sifts, maybe not to big preys ??? Since not really hunting ??)","Van Roy et al., 2015",,Youngest occurrence,,80 to 300 mm ?,,,,,,,,
146,Arthropoda,Dinocaridida ?,Radiodonta,Hurdiidae,Hurdiid 3,"predator that sifts sediments (so eats benthic stuff), epibenthic","Van Roy et al., 2015",,Youngest occurrence,,80 to 300 mm ?,,,,,,,,
147,Arthropoda,Dinocaridida ?,Radiodonta,Hurdiidae,Hurdiid 4,"predator that sifts sediments (so eats benthic stuff), epibenthic","Van Roy et al., 2015",,Youngest occurrence,,80 to 300 mm ?,,,,,,,,
148,Arthropoda,Dinocaridida ?,Radiodonta,Hurdiidae,Pseudoangustidontus duplospineus,"suspensivore, mesoplankton","Van Roy et Tetlie, 2006, Van Roy et al., 2015 ; Potin et al., 2023","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,"appendage 25 mm long, spines 5.2 mm long max",,,,,,,,
149,Arthropoda,Dinocaridida ?,Radiodonta,Hurdiidae,Pseudoangustidontus izdigua,"suspensivore, mesoplankton","Potin et al., 2023",Lower part of the Fezouata Formation,,,,,,,,,,,
150,Arthropoda,Dinocaridida ?,Radiodonta,Hurdiidae,Pseudoangustidontus sp. ,"suspensivore, mesoplankton","Potin et al., 2023",Lower part of the Fezouata Formation,,,"appendage 25 mm long, spines 5.2 mm long max (?)",,,,,,,,
151,Arthropoda,"Malacostraca, Phyllocarida",Canadaspidida (synonym Hymenocarina?),-,Canadaspidid,"mobile, nektobenthic, carnivore (Babcock, 2003)","Van Roy et al., 2015",,"Youngest occurrence, trilobite predator (Babcock, 2003)","Hymenocarina = Canadaspidida, Canadspidid",40 mm,,,,,,,,
152,Arthropoda,"Malacostraca, Phyllocarida",,-,Zagoracaris fezouataensis' n.n.,feeding too uncertain,"Van Roy, 2006 ; Kröger et Lefebvre, 2012",Upper part of the Fezouata Formation,"Only mentions of the name in other articles, nothing that seems to give more info on it",,,,,,,,,,
153,Arthropoda,Malacostraca,,-,Phyllocarid,"epibenthic (?), pelagic (??????), can swim (pelagic and nektobenthonic), burrowing, feeds in the water column ? (Dunlop, 2002), deposit feeder (Vannier et al., 1997), current ones filter feed sediments stirred up, or carnivorous scavengers (livre Brusca) carnivorous ?(Brett et walker, 2002 p6)","Van Roy et al., 2015, Vannier et al., 1997",,,,15 mm (undet. Phyllocarida YPM),,,,,,,,
154,Arthropoda,Malacostraca,,-,Angustidontid,"pelagic predator (Zato? et al., 2014 et Rolfe et Dzik, 2006)(could eat cephalopods ? and maybe conodonts ?) ","Van Roy et al., 2015 ; Alvaro ?",,Earliest occurrence,,"Late Devonian sp = maxilliped  ~ 16mm to 66mm (42mm for last article, toothed area 8 to 34 mm) , body 29mm-74mm ?(from those found)(Rolfe et Dzik)",,,,,,,,
155,Arthropoda,Marrellomorpha,Acercostraca,Vachonisiidae,Enosiaspis hrungnir,"epibenthic, scavenger/deposit feeder","Legg, 2016, Van Roy et al., 2015",Lower part of the Fezouata Formation,,,7-15 mm,,,,,,,,
156,Arthropoda,Marrellomorpha,Marrellida,Mimetasteridae,Furca sp. 1,filter-feeder,"Van Roy et al., 2015",Lower part of the Fezouata Formation,"Marella would be a nektobenthic filter-feeder (García-Bellido, D. C., & Collins, D. H. (2006)) or marrellomorphs = scavengers/deposit feeders (but other group ?), Rak et al., 2012 say benthic?, but need to see more details of appendages ",,13-40 mm,,,,,,,,
157,Arthropoda,Marrellomorpha,Marrellida,Mimetasteridae,Furca sp. 2,filter-feeder,"Van Roy et al., 2015",Lower part of the Fezouata Formation,,,,,,,,,,,
158,Arthropoda,Marrellomorpha,Marrellida,Mimetasteridae,Furca sp. 3,filter-feeder,"Van Roy et al., 2015",Lower part of the Fezouata Formation,,,,,,,,,,,
159,Arthropoda,Megacheira,,Leanchoiliidae,Leanchoilia sp.,"predator, nekto-epibenthic, agile (Garcia-Bellido et Collins, 2006, Haug et al, 2012)","Van Roy et al., 2015",,"Youngest occurrence, mange trilobite (Babcock, 2003)",,24-32 mm,,,,,,,,
160,Arthropoda,Ostracoda,,-,Ostracod,"deposit feeder (martin, 2016, thesis), suspension feeder (martin, 2016, thesis), can be benthic or planktonic (brusca, 2022)","Van Roy et al., 2015",Upper part of the Fezouata Formation ??,,,3 mm,,,,,,,,
161,Arthropoda,-,Nektaspida,Naraoiidae,Naraoiid,"epibenthic opportunistic scavenger/predator of soft-bodied invertebrates (Vannier et Chen, 2007, Zhai et al., 2019, Edgecomb, Legg - Arthropods fossil record), mud-eater (Bergström et al., 2007)","Van Roy et al., 2015",,Non-biomineralized,,~43 mm (undet. Naraoiidae),,,,,,,,
162,Arthropoda,-,Nektaspida,Liwiidae,Tariccoia tazagurtensis,"epibenthic opportunistic scavenger/predator of soft-bodied invertebrates (Vannier et Chen, 2002, Zhai et al., 2019), mud-eater (Bergström et al., 2007)","Pérez-Peris et al., 2021, Van Roy et al., 2015",Lower part of the Fezouata Formation,,,max 8 mm,,,,,,,,
163,Arthropoda,-,-,Cheloniellid,Eoduslia,"benthic predator/scavenger in or on the substrate, fed on small mobile invertebrates (potential ancestor ate trilobites, brachiopods, and worms) (Dunlop, 2002 ; Braddy et Dunlop, 2021) (for other species, determine if burrower of not depending on wether eyes or not (dunlop, 2002), + Cheloniellon carnivorous pcq raptorial limbs ?)",,Upper part of the Fezouata Formation,"Can't really seem to find any information on that species (Eoduslia braghimtahiri ?, Vidal1998?)",,"~ 20 mm long, ~15 mm width ?",,,,,,,,
164,Arthropoda,-,,-,Possible waptiid,"Waptia was active swimming predator of soft prey items or soft tissues from carcasses (Vannier et al., 2018) or scavenger (Strausfeld, 2016) (Dunne put that it eats small hyoliths and other soft bodied stuff in Burgess and detritus in Chenjiang)","Van Roy et al., 2015",,Youngest occurrence,,"20-110 mm selon sp.(Hou et al., 2009)",,,,,,,,
165,Arthropoda,,,-,Cycloid-like taxon,,"Van Roy et al., 2015",,"looks like crab, cyloids only actually appear in carboniferous ?, prob very varied modes of life",,,,,,,,,,
166,Arthropoda,Unknown,,Unknown,Multiple bivalved taxa,,"Van Roy et al., 2015 ; Saleh et al., 2022 (Fig. 3d)",,,,,,,,,,,,
167,Arthropoda,Unknown,,Unknown,Several taxa of currently uncertain affinity,,"Van Roy et al., 2015",,,,,,,,,,,,
168,ARTHROPODA,TRILOBITA,Agnostida,Agnostidae / metagnostidae ? ,Geragnostus aff. occitanus,"epibenthic, prob benthic feeder, ate algae, detritus, and microorganisms ?  Slavickova et Kraft (2001), blind ? (Turvey et Zhou, 2004), ecology hard to know because seems very varied in Agnostida (slow, detritivore)","Martin et al., 2016trilobite ; Van Roy et al., 2015",,,,9 mm ? (Geragnostus sp.),,,,,,,,
169,Arthropoda,Trilobita,Agnostida,Agnostidae / metagnostidae ?,Geragnostus sp.,"epibenthic, prob benthic feeder, ate algae, detritus, and microorganisms ?  Slavickova et Kraft (2001), blind ? (Turvey et Zhou, 2004), ecology hard to know because seems very varied in Agnostida (slow, detritivore)","Van Roy et al., 2015, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,9 mm,,,,,,,,
170,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus fezouataensis ,"predator/scavenger, fast","Vidal, 1998 ; Lefebvre et al., 2016, Martin et al., 2016trilobite, Van Roy et al., 2015","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",hypostoma with ridges ?,,67-101 mm,,,,,,,,
171,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus stubbsi,"epibenthic, predator, fast","Van Roy et al., 2015, Martin et al., 2016trilobite",Lower part of the Fezouata Formation,,,241-380 mm,,,,,,,,
172,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus tataensis,"predator/scavenger, fast , (no fork in hypostome ?, but antenna good for hunting ? Edgecombe et fortey, 2022)","Vidal, 1998 ; Lefebvre et al., 2016, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,>70 mm (maybe around 90-100 ???),,,,,,,,
173,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus sp. aff. jujuanus,"predator/scavenger, fast","Vidal, 1998 ; Lefebvre et al., 2016, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,37-62 mm,,,,,,,,
174,Arthropoda,Trilobita,Asaphida,Asaphidae,Asaphellus sp.,"predator, fast","Lefebvre et al., 2016 ; Laibl et al., 2023","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,,,,,,,,
175,Arthropoda,Trilobita,Asaphida,Asaphidae,Basilicus (Basiliella?) aff. destombesi,"predator/scavenger (fortey et owens, 1999)","Vidal, 1998 ; Lefebvre et al., 2016",Upper part of the Fezouata Formation,medium eyes,,330 mm,,,,,,,,
176,Arthropoda,Trilobita,Asaphida,Asaphidae,Basilicus (Basiliella?) destombesi,"predator/scavenger (fortey et owens, 1999)","Vidal, 1988 ; Lefebvre et al., 2016, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,330 mm,,,,,,,,
177,Arthropoda,Trilobita,Asaphida,Asaphidae,Basilicus (Basiliella?) sp. A,"predator/scavenger (fortey et owens, 1999)","Lefebvre et al., 2016",Upper part of the Fezouata Formation,big eyes,,510 mm (sp.),,,,,,,,
178,Arthropoda,Trilobita,Asaphida,Asaphidae,Basilicus (Basiliella?) sp. B,"predator/scavenger (fortey et owens, 1999)","Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,510 mm (sp.),,,,,,,,
179,Arthropoda,Trilobita,Asaphida,Asaphidae,Basilicus (Basilicus) vidali,"predator/scavenger (fortey et owens, 1999)","Corbacho et Vela, 2010",Upper part of the Fezouata Formation,big eyes,,360 mm,,,,,,,,
180,Arthropoda,Trilobita,Asaphida,Asaphidae,Kierarges morrisoni,"predator/scavenger (fortey et owens, 1999)","Van Roy et al., 2015, Corbacho, 2014",Upper part of the Fezouata Formation ,,,34-140 mm,,,,,,,,
181,Arthropoda,Trilobita,Asaphida,Asaphidae,Megalaspidella sp.,"predator (fortey et owens, 1999)","Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,~26-42 mm,,,,,,,,
182,Arthropoda,Trilobita,Asaphida,Asaphidae,Megistaspis (Ekeraspis) cf. filacovi,"epibenthic, detritivore","Vidal, 1998 ; Lefebvre et al., 2016, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,285-340 mm ??,,,,,,,,
183,Arthropoda,Trilobita,Asaphida,Asaphidae,Megistaspis (Ekeraspis) hammondi,detritivore,"Gutiérrez-Marco et al., 2017, Corbacho & Vela, 2010 ; Laibl et al., 2023","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,285-340 mm,,,,,,,,
184,Arthropoda,Trilobita,Asaphida,Asaphidae,Megistaspis (Ekeraspis) sp. indet.,detritivore,"Vidal, 1998 ; Lefebvre et al., 2016","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,56 mm,,,,,,,,
185,Arthropoda,Trilobita,Asaphida,Asaphidae,Ogyginus hammondi,"predator/scavenger (fortey et owens, 1999)","Álvaro et al., 2022 ; Corbacho et Vela, 2010",Upper part of the Fezouata Formation,big eyes,,"392-491 mm, 135 mm Ogyginus sp. from Corbacho",,,,,,,,
186,Arthropoda,Trilobita,Asaphida,Asaphidae,Niobella sp.,"predator/scavenger (fortey et owens, 1999)","Gutiérrez-Marco, herein",Lower part of the Fezouata Formation,,,~33 mm ?,,,,,,,,
187,Arthropoda,Trilobita,Asaphida,Asaphidae,Nobiliasaphus? sp.,"predator/scavenger (fortey et owens, 1999)","Corbacho et Vela, 2010",Upper part of the Fezouata Formation,medium eyes,,330 mm,,,,,,,,
188,Arthropoda,Trilobita,Asaphida,Dikelokephalinidae,Dikelokephalina brenchleyi,"epibenthic, predator, but probably on slower stuff (ex: worms) (Fortey, 2012)","Van Roy et al., 2015, Martin et al., 2016trilobite",Lower part of the Fezouata Formation,"probably attached hypostome (Fortey, 2012), not fast",Dikelophalina brenchley ? (spelling ?),242-337 mm,,,,,,,,
189,Arthropoda,Trilobita,Asaphida,Nileidae,Asaphellus' cuervoae,"predator/scavenger, fast","Corbacho & López-Soriano, 2012 ; Van Roy et al., 2015 ; Corbacho & López-Soriano, 2020",Lower part of the Fezouata Formation,"impendent hypostome, pred, but could maybe eat bigger prey items","Platypeltoides cuervoae ?   Diversity and Distribution of the Genus Platypeltoides
(Nileidae) in Morocco ",95-125 mm,,,,,,,,
190,Arthropoda,Trilobita,Asaphida,Nileidae,Nileus deynouxi,"predator/scavenger (fortey et owens, 1999)","Destombes et al., 1969 ; Laibl et al., 2023",Lower part of the Fezouata Formation,,,11 mm,,,,,,,,
191,Arthropoda,Trilobita,Asaphida,Nileidae?,Playpeltoides' carmenae,"predator/scavenger (fortey et owens, 1999)","Corbacho et al., 2017",Lower part of the Fezouata Formation,,,55 mm,,,,,,,,
192,Arthropoda,Trilobita,Asaphida,Nileidae?,Platypeltoides' hammondi,"predator/scavenger (fortey et owens, 1999)","Corbacho et López-Soriano, 2016",Lower part of the Fezouata Formation,,,165 mm,,,,,,,,
193,Arthropoda,Trilobita,Asaphida,Nileidae,Platypeltoides magrebiensis,"predator/scavenger (fortey et owens, 1999)","Lefebvre et al., 2016, Martin et al., 2016trilobite, Corbacho et Vela, 2010, Laibl et al., 2023",Lower part of the Fezouata Formation,,,"33-62 mm, 180-230 mm, 277 mm ",,,,,,,,
194,Arthropoda,Trilobita,Asaphida,Nileidae,Symphysurus ebbestadi,"predator/scavenger (fortey et owens, 1999)","Drage et al., 2019 ;  Gutiérrez-Marco et al., 2019 ; Laibl et al., 2023",Lower part of the Fezouata Formation,"9 specimens from one lens, moulting stages",,30-40 mm,,,,,,,,
195,Arthropoda,Trilobita,Asaphida,Nileidae,Symphysurus sicardi,"predator/scavenger (fortey et owens, 1999)","Lefebvre et al., 2016 ;  Gutiérrez-Marco et al., 2019","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Symphysurus angustatus sicardi,30-32 mm,,,,,,,,
196,Arthropoda,Trilobita,Asaphida,Nileidae,Symphysurus sp. ,"predator/scavenger (fortey et owens, 1999)","Van Roy et al., 2015 ; Lefebvre et al., 2016 ;  Gutiérrez-Marco et al., 2019",Lower part of the Fezouata Formation,,,"39-42 mm, 60 mm (specimen YPM)",,,,,,,,
197,Arthropoda,Trilobita,Asaphida,Raphiophoridae,Ampyx cf. priscus,"epibenthic, filter-feeder (fortey et owens, 1999) ","Vidal, 1998 ; Martin et al., 2016trilobite, Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,"10-16 mm (Yale Peabody Museum), 40-65mm",,,,,,,,
198,Arthropoda,Trilobita,Asaphida,Raphiophoridae,Ampyx priscus ,"epibenthic, filter-feeder (fortey et owens, 1999) ","Martin et al., 2016trilobite, Lefebvre et al., 2016","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,"10-16 mm (Yale Peabody Museum), 40-65mm",,,,,,,,
199,Arthropoda,Trilobita,Asaphida,Raphiophoridae,Cnemidopyge sp.,"epibenthic filter feeder (chamber) (Fortey et Owens, 1999)","Van Roy et al., 2015",,,,"width of pygidum ~15 mm, general shape seems round ?",,,,,,,,
200,Arthropoda,Trilobita,Asaphida,Remopleurididae,Apatokephalus cf. incisus,predator/scavenger,"Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,"~14, 20-30 mm long ?",,,,,,,,
201,Arthropoda,Trilobita,Asaphida?,Symphysurinidae,Symphysurina sp.,"impendent or conterminent hypostome (Westrop et al., 1993 and Fortey and Chatterton, 1988 (?)), so predator/scavenger","Fortey, 2009 (p.14)",Lower part of the Fezouata Formation,,,width 8-15mm ?),,,,,,,,
202,Arthropoda,Trilobita,Corynexochida,Leiostegiidae,Agerina quadrata,"predator (fortey et owens, 1999)","Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,~10 mm,,,,,,,,
203,Arthropoda,Trilobita,Harpetida,Harpididae,Eoharpes sp.,epibenthic filter feeder (chamber) Fortey et owens 1999,"Martin et al., 2016trilobite",Lower part of the Fezouata Formation,,,~30-40-50 mm ?,,,,,,,,
204,Arthropoda,Trilobita,Harpetida,Harpididae,Harpides sp.,epibenthic filter feeder (chamber) Fortey et owens 1999,"Van Roy et al., 2015",Upper part of the Fezouata Formation,,,57-66 mm,,,,,,,,
205,Arthropoda,Trilobita,Lichida,Lichakephalidae,Lichakephalus stubbsi,"epibenthic, predator, but probably on slower stuff (ex: worms) (Fortey, 2012)","Van Roy et al., 2015 ; Fortey, 2012",Lower part of the Fezouata Formation,"probably attached hypostome (Fortey, 2012), not fast",,380 mm,,,,,,,,
206,Arthropoda,Trilobita,Lichida,Lichidae,Bohemolichas? sp.,"scavenger or opportunistic predator eating any small animals it could find (Kraft et al., 2023, for Bohemolichas incola)","Gutiérrez-Marco, herein",Upper part of the Fezouata Formation,,,,,,,,,,,
207,Arthropoda,Trilobita,Lichida,Lichidae,Uralichas marochii,"predator (fortey et owens, 1999)","Van Roy et al., 2015 ; Corbacho et Vela, 2013 ; Guttierez-Marco et al, 2019",Upper part of the Fezouata Formation,,  Parvilichas marochii,26 mm,,,,,,,,
208,Arthropoda,Trilobita,Odontopleurida,Odontopleuridae,Selenopeltis sp. 1,"epifaunal, predator/scavenger (Fortey, 2014), but maybe small prey ? (Meyer, 2019, p.161)","Van Roy et al., 2015",Upper part of the Fezouata Formation,,,17-23 mm (undet. Odontopleurida),,,,,,,,
209,Arthropoda,Trilobita,Odontopleurida,Odontopleuridae,Selenopeltis sp. 2,"epifaunal, predator/scavenger (Fortey, 2014), but maybe small prey ? (Meyer, 2019, p.161)","Van Roy et al., 2015",Upper part of the Fezouata Formation,,,17-23 mm (undet. Odontopleurida),,,,,,,,
210,Arthropoda,Trilobita,Olenida,Eulomidae,Euloma sp.,"particle feeding (Fortey et Owens, 1999)","Van Roy et al., 2015 ; Lefebvre et al., 2016, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,31-38 mm,,,,,,,,
211,Arthropoda,Trilobita,Olenida,Olenidae,Leptoplastides salteri,"chemoautotrophic symbiont with bacteria (Fortey, 2000)","Hopkins et al., 2024",Lower part of the Fezouata Formation,,Beltella sp.,6 - 60 mm,,,,,,,,
212,Arthropoda,Trilobita,Phacopida,Cheiruridae,Foulonia peregrina,"predator (fortey et owens, 1999)","Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ceraurinella peregrinus ,~20-25mm,,,,,,,,
213,Arthropoda,Trilobita,Phacopida,Cheiruridae,Foulonia sp.,"predator (fortey et owens, 1999)","Van Roy et al., 2015, Martin et al., 2016trilobite",,,,~20-25mm (?),,,,,,,,
214,Arthropoda,Trilobita,Phacopida,Dalmanitidae,Toletanaspis aff. borni,"predator (fortey et owens, 1999)","Lefebvre et al., 2016, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,Ormathops borni,11-17 mm,,,,,,,,
215,Arthropoda,Triobita,Phacopida,Dalmanitidae,Toletanaspis borni,"predator (fortey et owens, 1999)","Destombes, 1972",Upper part of the Fezouata Formation,,,,,,,,,,,
216,Arthropoda,Trilobita,Phacopida,Bavarillidae,Bavarilla aff. zemmourensis,"predator (fortey et owens, 1999)","Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,20-40 mm,,,,,,,,
217,Arthropoda,Trilobita,Phacopida,Bavarillidae,Bavarilla zemmourensis,"predator (fortey et owens, 1999)","Martin et al., 2016trilobite ; Laibl et al., 2023",Lower part of the Fezouata Formation,,,20-40 mm,,,,,,,,
218,Arthropoda,Trilobita,Phacopida,Calymenidae,Colpocoryphe pradesensis,"predator (fortey et owens, 1999)","Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,~18 mm ?,,,,,,,,
219,Arthropoda,Trilobita,Phacopida,Calymenidae,Colpocoryphe thorali,"predator (fortey et owens, 1999)","Lefebvre et al., 2016, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,14-22.5 mm,,,,,,,,
220,Arthropoda,Trilobita,Phacopida,Calymenidae,Colpocoryphe sp.,"predator (fortey et owens, 1999)","Van Roy et al., 2015, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,50 mm         Calymenidae in general - 8-25 mm,,,,,,,,
221,Arthropoda,Trilobita,Phacopida,Calymenidae,Prionocheilus aff. languedocensis,"predator (fortey et owens, 1999)","Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,43-60 mm ?,,,,,,,,
222,Arthropoda,Trilobita,Phacopida,Calymenidae,Prionocheilus sp.,"predator (fortey et owens, 1999)","Van Roy et al., 2015, Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,43-60 mm,,,,,,,,
223,Arthropoda,Trilobita,Phacopida,Calymenidae,Neseuretus aff. attenuatus,"predator (fortey et owens, 1999)","Lefebvre et al., 2016, Martin et al., 2016trilobite",Upper part of the Fezouata Formation,,,83 mm (Neseuretus sp.),,,,,,,,
224,Arthropoda,Trilobita,Phacopida,Calymenidae,Neseuretus cf. attenuatus,"predator (fortey et owens, 1999)","Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,83 mm (Neseuretus sp.),,,,,,,,
225,Arthropoda,Trilobita,Phacopida,Calymenidae,Pradoella 'tazzarinensis' n.n.,"predator (fortey et owens, 1999)","Vidal PhD, 1996 ; Lefebvre et al., 2016",Upper part of the Fezouata Formation,,,150 mm,,,,,,,,
226,Arthropoda,Trilobita,Phacopida,Calymenidae,Pradoella sp.,"predator (fortey et owens, 1999)","Martin et al., 2016trilobite","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,110 - 160 mm ????,,,,,,,,
227,Arthropoda,Trilobita,Phacopida,Cheiruridae,Anacheirurus adserai,"predator/scavenger ? Bc of hypostome ? (perez-peris et al, 2021)","Martin et al., 2016trilobite, Pérez-Peris et al, 2021 ; Laibl et al., 2023",Lower part of the Fezouata Formation,conterminant hypsotome,"Lehua adserai, Lehua corbachoi, Lehua tahirii, Lehua velai",40-48 mm ,,,,,,,,
