Cons. sp.; Resource sp.
Hadromeros edgecombei;Monotiopleura parallela
Hadromeros edgecombei;Neoschmidtella granti 
Hadromeros edgecombei;Anticostibolbina jupiterensis 
Hadromeros edgecombei;Apatobolbina whiteavesi 
Hadromeros edgecombei;Steusloffina cuneata
Hadromeros edgecombei;Cyrtocyprus inornata 
Hadromeros edgecombei;Thrallella maceachermi
Hadromeros edgecombei;Bairdiocypris jupiterensis 
Hadromeros edgecombei;Baschkirina cerata 
Hadromeros edgecombei;Elliptocyprites mawilliamsia 
Hadromeros edgecombei;Punctobeecherella punctata
Hadromeros edgecombei;Punctomosea borealis 
Hadromeros edgecombei;Menoeidina lavoiei 
Hadromeros edgecombei;Krausella anticostiensis
Hadromeros edgecombei;Longiscula subcylindrica
Hadromeros edgecombei;Aviacypris ichnos 
Hadromeros edgecombei;Macrocyproides trentonensis
Hadromeros edgecombei;Microcheilinella rozhdestvenskaja
Hadromeros edgecombei;Pachydomella murrayi 
Hadromeros edgecombei;Rectella anticostiensis 
Hadromeros edgecombei;Medianella meidlai 
Hadromeros edgecombei;Conbathella inornata 
Hadromeros edgecombei;Leperditella sp.
Hadromeros edgecombei;Neoprimitiella conica
Hadromeros edgecombei;Paraschmidtella irregularis
Hadromeros edgecombei;Eokloedenella canadensis
Sphenosphaera laurentinus;detritus
Bucania ellisensis ;detritus
Phragmolites desideratus;detritus
Salpingostoma orientalis ;detritus
Tetranota obsoleta ;detritus
Sinuites bilobatus ;detritus
Alaskadiscus giganteus ;detritus
Eldroceras blakei;Atraktoprion cornutus 
Eldroceras blakei;Hadoprion cervicornis
Eldroceras blakei;Kalloprion sp.
Eldroceras blakei;Mochtyella cristata
Eldroceras blakei;Pistoprion transitans
Eldroceras blakei;Vistulella kozlowskii 
Eldroceras blakei;Kettnerites sp.
Eldroceras blakei;Oenonites sp.
Eldroceras blakei;Pteropelta gladiata
Eldroceras blakei;Ramphoprion ineptus
Eldroceras blakei;Tetraprion pozaryskae
Eldroceras blakei;Xanioprion sp.
Eldroceras blakei;Lunoprionella sp.
Atraktoprion cornutus ;Dicranella sp.
Atraktoprion cornutus ;Jonesites semilunatus
Aphelognathus grandis;Alaskadiscus giganteus 
Aphelognathus grandis;Euomphalus anticostiensis 
Aphelognathus grandis;Holopea corrugata
Aphelognathus grandis;Lytospira nitida 
Aphelognathus grandis;Cyclonema bellulum
Aphelognathus grandis;Platyceras niagarense
Aphelognathus grandis;Raphistoma vaurealense
Aphelognathus grandis;Hormotoma aculeata
Aphelognathus grandis;Vanuxemia acutumbona
Aphelognathus grandis;Whitella sigmoidea
Aphelognathus grandis;Modiolopsis miser 
Aphelognathus grandis;Byssonychia anticostiana 
Aphelognathus grandis;Cleionychia superba
Aphelognathus grandis;Mytilarca nitida
Aphelognathus grandis;Gibberella brickensis
Aphelognathus grandis;Herrmannina anticostiensis
Aphelognathus grandis;Schmidtella robervali 
Aphelognathus grandis;Carinobolbina richardsoni 
Aphelognathus grandis;Faurella cartieri
Aphelognathus grandis;Spinigerites sp.
Apsidognathus tuberculatus;Gnamptorhynchos inversum
Apsidognathus tuberculatus;Orthorhynchyllion prinstanum 
Apsidognathus tuberculatus;Hypsiptycha anticostiensis
Apsidognathus tuberculatus;Rhynchotrema increbescens
Apsidognathus tuberculatus;Stegerhynchus borealis
Apsidognathus tuberculatus;Stegerhynchus concinna
Astropentagnatus irregularis;Longiscula subcylindrica
Astropentagnatus irregularis;Aviacypris ichnos 
Astropentagnatus irregularis;Macrocyproides trentonensis
Astropentagnatus irregularis;Microcheilinella rozhdestvenskaja
Astropentagnatus irregularis;Pachydomella murrayi 
Astropentagnatus irregularis;Rectella anticostiensis 
Astropentagnatus irregularis;Archinacella estella
Astropentagnatus irregularis;Metoptoma alceste
Astropentagnatus irregularis;Palaeacmaea magnifica 
Astropentagnatus irregularis;Vallatotheca anticostiensis 
Aulacognathus bullatus;Whitella sigmoidea
Aulacognathus bullatus;Modiolopsis miser 
Aulacognathus bullatus;Byssonychia anticostiana 
Aulacognathus bullatus;Cleionychia superba
Aulacognathus bullatus;Mytilarca nitida
Aulacognathus bullatus;Pterinea bellilineata
Aulacognathus bullatus;Euprimitia gamachei
Aulacognathus bullatus;Eurychilina erugoface 
Aulacognathus bullatus;Anticostiella ellisensis 
Aulacognathus bullatus;Eoleperditia vaurealensis
Aulacognathus bullatus;Gibberella brickensis
Aulacognathus bullatus;Herrmannina anticostiensis
Aulacognathus bullatus;Schmidtella robervali 
Carniodus carnulus;Aechmina sp.
Carniodus carnulus;Paraechmina billingsi 
Carniodus carnulus;Baltonotella parsispinosa
Carniodus carnulus;Libumella wilsonensis 
Carniodus carnulus;Dicranella sp.
Carniodus carnulus;Jonesites semilunatus
Carniodus carnulus;Ulrichia nodosa
Carniodus carnulus;Cryptophyllus bilamella 
Carniodus carnulus;Euprimitia gamachei
Carniodus carnulus;Eurychilina erugoface 
Carniodus carnulus;Anticostiella ellisensis 
Carniodus carnulus;Eoleperditia vaurealensis
Carniodus carnulus;Gibberella brickensis
Carniodus carnulus;Herrmannina anticostiensis
Carniodus carnulus;Schmidtella robervali 
Carniodus carnulus;Carinobolbina richardsoni 
Carniodus carnulus;Faurella cartieri
Carniodus carnulus;Spinigerites sp.
Carniodus carnulus;Ctenobolbina maclearni
Carniodus carnulus;Foramenella phippsi 
Carniodus carnulus;Tetradella anticostiensis 
Carniodus carnulus;Tvaerenella calvatus
Carniodus carnulus;Zygobolba decora
Carniodus carnulus;Eographiodactylus billingsi
Carniodus carnulus;Daleiella caleyi 
Carniodus carnulus;Jupiterella jupiterensis 
Carniodus carnulus;Kiltsiella sarvi 
Carniodus carnulus;Loutriella jupiterensis 
Carniodus carnulus;Milleratia twenhofeli
Carniodus carnulus;Monotiopleura parallela
Carniodus carnulus;Neoschmidtella granti 
Carniodus carnulus;Anticostibolbina jupiterensis 
Carniodus carnulus;Apatobolbina whiteavesi 
Carniodus carnulus;Steusloffina cuneata
Carniodus carnulus;Cyrtocyprus inornata 
Carniodus carnulus;Thrallella maceachermi
Carniodus carnulus;Bairdiocypris jupiterensis 
Carniodus carnulus;Baschkirina cerata 
Carniodus carnulus;Elliptocyprites mawilliamsia 
Carniodus carnulus;Punctobeecherella punctata
Carniodus carnulus;Punctomosea borealis 
Carniodus carnulus;Menoeidina lavoiei 
Carniodus carnulus;Krausella anticostiensis
Carniodus carnulus;Longiscula subcylindrica
Carniodus carnulus;Aviacypris ichnos 
Carniodus carnulus;Macrocyproides trentonensis
Carniodus carnulus;Microcheilinella rozhdestvenskaja
Carniodus carnulus;Pachydomella murrayi 
Carniodus carnulus;Rectella anticostiensis 
Carniodus carnulus;Medianella meidlai 
Carniodus carnulus;Conbathella inornata 
Carniodus carnulus;Leperditella sp.
Carniodus carnulus;Neoprimitiella conica
Carniodus carnulus;Paraschmidtella irregularis
Carniodus carnulus;Eokloedenella canadensis
Pteropelta gladiata;Trematis ottawaensis anticostiensis 
Pteropelta gladiata;Schizocrania filosa
Pteropelta gladiata;Crania anticostiana 
Pteropelta gladiata;Pholidops gamachiana
Pteropelta gladiata;Whitella sigmoidea
Pteropelta gladiata;Modiolopsis miser 
Pteropelta gladiata;Byssonychia anticostiana 
Pteropelta gladiata;Cleionychia superba
Pteropelta gladiata;Mytilarca nitida
Pteropelta gladiata;Lytospira nitida 
Pteropelta gladiata;Cyclonema bellulum
Pteropelta gladiata;Platyceras niagarense
Eridites barnesi;Baltonotella parsispinosa
Eridites barnesi;Libumella wilsonensis 
Eridites barnesi;Dicranella sp.
Eridites barnesi;Jonesites semilunatus
Eridites barnesi;Ulrichia nodosa
Eridites barnesi;Cryptophyllus bilamella 
Eridites barnesi;Euprimitia gamachei
Eridites barnesi;Eurychilina erugoface 
;
