254,Echinodermata,Eocrinoidea,-,-,Eocrinoidea indet. sp. 2,"epibenthic, filter feeder [S104]",[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
255,Echinodermata,Eocrinoidea,-,-,Eocrinoidea indet.,"epibenthic, filter feeder [S104]",[S105],Lower part of the Fezouata Formation,,,,
256,Echinodermata,Rhombifera,Glyptocystitida,Macrocystellidae,Macrocystella bohemica,"suspension feeder [S104, S109]",[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,"undet. Rhombifera YPM - <20mm, 25 mm????",
257,Echinodermata,Soluta,Syringocrinida,Minervaecystidae,Nimchacystis agterbosi,detritivore [S115],[S115],Lower part of the Fezouata Formation,,,73 mm,
258,Echinodermata,Soluta,Syringocrinida,Minervaecystidae,Plasiacystis mobilis,detritivore [S115],[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,50 mm,
260,Echinodermata,Soluta,Syringocrinida,unassigned,cf. Castericystis,suspension feeder [S116],[S105],Lower part of the Fezouata Formation,,,66 mm ??,
263,Echinodermata,Somasteroidea (sub-phylum Asterozoa),-,-,Villebrunaster fezouataensis,"filter-feeder, predator of some very small animals on the substrate (ex : small amphipod) (according to potential extant species [S117])","[S118, S119]",Lower part of the Fezouata Formation,,"Cantabrigiaster fezouatensis, Somasteroid indet. n. sp. 1",~40-60 mm,
264,Echinodermata,Stylophora,Cornuta,Amygdalothecidae,Amygdalotheca griffei,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,,
265,Echinodermata,Stylophora,Cornuta,Amygdalothecidae,Nanocarpus cf. dolambii,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,,
267,Echinodermata,Stylophora,Cornuta,Chauvelicystidae,Chauvelicystis ubaghsi,suspension and/or detritus feeder [S116],"[S105, S108]",Lower part of the Fezouata Formation,,,,
268,Echinodermata,Stylophora,Cornuta,Chauvelicystidae,Chauvelicystis spinosa,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,Chauvalicystis,,
269,Echinodermata,Stylophora,Cornuta,Chauvelicystidae,Chauvelicystis vizcainoi,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,,
270,Echinodermata,Stylophora,Cornuta,Chauvelicystidae,Sokkaejaecystis sp. 1,suspension and/or detritus feeder [S116],"[S105, S120]",Lower part of the Fezouata Formation,,"Chauvelicystid n. gen., n. sp. 1, Lyricocarpus courtessolei",,
271,Echinodermata,Stylophora,Cornuta,Chauvelicystidae,Sokkaejaecystis sp. 2,suspension and/or detritus feeder [S116],"[S105, S120]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,"Chauvelicystid n. gen., n. sp. 2",,
272,Echinodermata,Stylophora,Cornuta,Cothurnocystidae,Procothurnocystis n. sp.,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,,
273,Echinodermata,Stylophora,Cornuta,Hanusiidae,Galliaecystis ubaghsi,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,,
274,Echinodermata,Stylophora,Cornuta,Hanusiidae,Galliaecystis n. sp.,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,,
275,Echinodermata,Stylophora,Cornuta,Hanusiidae,Hanusia n. sp.,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,11-15 mm,
276,Echinodermata,Stylophora,Cornuta,Hanusiidae,Prokopicystis sp.,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,,
277,Echinodermata,Stylophora,Cornuta,Phyllocystidae,Phyllocystis blayaci,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,,
278,Echinodermata,Stylophora,Cornuta,unassigned,"Cornuta n. gen. 1, n. sp.",suspension and/or detritus feeder [S116],"[S105, S120]","Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
279,Echinodermata,Stylophora,Cornuta,unassigned,"Cornuta n. gen. 2, n. sp.",suspension and/or detritus feeder [S116],"[S105, S120]",Lower part of the Fezouata Formation,,,,
280,Echinodermata,Stylophora,Cornuta,unassigned,Flabellicarpus rushtoni,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,,
283,Echinodermata,Stylophora,Cornuta,Scotiaecystidae,Bohemiaecystis n. sp.,suspension and/or detritus feeder [S116],"[S1, S105]",Lower part of the Fezouata Formation,,Thoralicystis n. sp.,11-15 mm,
286,Echinodermata,Stylophora,Mitrata,Kirkocystidae,Anatifopsis trapeziiformis,suspension and/or detritus feeder [S116],[S105],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
288,Echinodermata,Stylophora,Mitrata,Lagynocystidae,Lagynocystis pyramidalis,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,,
289,Echinodermata,Stylophora,Mitrata,Peltocystidae,Peltocystis cornuta,suspension and/or detritus feeder [S116],"[S1, S105, S121]",Lower part of the Fezouata Formation,,,6-9 mm (Peltocystis? sp. - 17 mm with arms),
290,Echinodermata,Stylophora,Mitrata,unassigned,Aspidocarpus sp.,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,,
293,Echinodermata,Stylophora,Mitrata,unassigned,Vizcainocarpus sp.,suspension and/or detritus feeder [S116],[S105],Lower part of the Fezouata Formation,,,,
294,HEMICHORDATA,Pterobranchia,subclass Cephalodiscida,-,Cephalodiscid hemichordate,"encrusting epibenthic, Filter/suspension feeder, pseudocolonial","[S122, S123]",Lower part of the Fezouata Formation,,Rhabdopleurid-like epibiont [S122] (incorrect previous identification),,
295,Hemichordata,Pterobranchia,Dendroidea,Dendrograptidae,Calyxdendrum amicabilis,"planktonic, Filter/suspension feeder ",[S123],Lower part of the Fezouata Formation,,Previously incorrectly identified as Koremagraptus sp.,,
296,Hemichordata,Pterobranchia,Dendroidea,Dendrograptidae,Calyxdendrum n. sp.,"planktonic, filter/suspension feeder ","Gutiérrez-Marco, herein",Lower part of the Fezouata Formation,,,,
298,Hemichordata,Pterobranchia,Graptoloidea,Anisograptidae,Adelograptus tenellus,"planktonic, Filter/suspension feeder ",[S124],Lower part of the Fezouata Formation,,,,
299,Hemichordata,Pterobranchia,Graptoloidea,Anisograptidae,Ancoragraptus bulmani,"planktonic, Filter/suspension feeder ",[S124],Lower part of the Fezouata Formation,,,,
300,Hemichordata,Pterobranchia,Graptoloidea,Anisograptidae,Choristograptus louai,"planktonic, Filter/suspension feeder ",[S124],Lower part of the Fezouata Formation,,,,
301,Hemichordata,Pterobranchia,Graptoloidea,Anisograptidae, 'Kiaerograptus' supremus,"planktonic, Filter/suspension feeder ","[S1, S124]",Lower part of the Fezouata Formation,,,,
302,Hemichordata,Pterobranchia,Graptoloidea,Anisograptidae,Kiaerograptus'? sp. (slightly deflexed),"benthic, Filter/suspension feeder ",[S124],Lower part of the Fezouata Formation,,,,
303,Hemichordata,Pterobranchia,Graptoloidea,Anisograptidae,Paratemnograptus magnificus,"planktonic, Filter/suspension feeder ","[S1, S124]",Lower part of the Fezouata Formation,,,,
304,Hemichordata,Pterobranchia,Graptoloidea,Anisograptidae,Rhabdinopora anglica,"planktonic, Filter/suspension feeder ","[S7, S124]",Lower part of the Fezouata Formation,,,,
305,Hemichordata,Pterobranchia,Graptoloidea,Anisograptidae,Rhabdinopora canadensis,"planktonic, Filter/suspension feeder ",[S124],Lower part of the Fezouata Formation,,,,
306,Hemichordata,Pterobranchia,Graptoloidea,Anisograptidae,Rhabdinopora flabelliforme,"planktonic, Filter/suspension feeder ","[S7, S124]",Lower part of the Fezouata Formation,,Flabelliformis flabelliformis ?,,
307,Hemichordata,Pterobranchia,Graptoloidea,Anisograptidae,Rhabdinopora socialis,"planktonic, Filter/suspension feeder ",[S124],Lower part of the Fezouata Formation,,,,
309,Hemichordata,Pterobranchia,Graptoloidea,Dichograptidae,Clonograptus multiplex,"planctonique, Filter/suspension feeder ",[S124],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
310,Hemichordata,Pterobranchia,Graptoloidea,Dichograptidae,Clonograptus rigidus,"planctonique, Filter/suspension feeder ","[S1, S7, S124]",Lower part of the Fezouata Formation,,,"40 mm (but Clonograptus?, species unknown, Yale Peabody Museum)",
312,Hemichordata,Pterobranchia,Graptoloidea,Dichograptidae,Hunnegraptus copiosus ??,"planktonic, Filter/suspension feeder ","[S1, S124]",Lower part of the Fezouata Formation,,,,
319,Hemichordata,Pterobranchia,Graptoloidea,Phyllograptidae,Sagenograptus murrayi,"planktonic, Filter/suspension feeder ","[S1, S7, S124]",Lower part of the Fezouata Formation,,Araneograptus murrayi (old name),"at leat 7cm wide, 10cm long",
320,Hemichordata,Pterobranchia,Graptoloidea,Phyllograptidae, 'Tetragraptus' bulmani,"planktonic, Filter/suspension feeder ","[S1, S124]",Lower part of the Fezouata Formation,,,,
321,Hemichordata,Pterobranchia,Graptoloidea,Phyllograptidae,Tetragraptus sp. (3-stiped),"planktonic, Filter/suspension feeder ",[S124],Lower part of the Fezouata Formation,,,,
324,Hemichordata,Pterobranchia,Graptoloidea,Sigmagraptidae,Paradelograptus cf. antiquus,"planktonic, filter/suspension feeder ","Gutiérrez-Marco, herein",Lower part of the Fezouata Formation,,,,
325,Hemichordata,Pterobranchia,Graptoloidea,Sigmagraptidae,Paradelograptus norvegicus,"planktonic, Filter/suspension feeder ","[S1, S124]",Lower part of the Fezouata Formation,,,,
326,Hemichordata,Pterobranchia,Graptoloidea,Sigmagraptidae,Paradelograptus tenuis,"planktonic, Filter/suspension feeder ","[S1, S124]",Lower part of the Fezouata Formation,,,,
328,CHORDATA,,,Conodonts,Acodus deltatus,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",,,,
329,Chordata,,,Conodonts,Acodus sp.,nektonic predator (soft diet),[S125],Lower part of the Fezouata Formation,,,,
330,Chordata,,,Conodonts,Cornuodus longibasis,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",coniform [S126],,,
331,Chordata,,,Conodonts,Drepanoistodus? cf. pervetus,nektonic predator (soft diet),[S125],Lower part of the Fezouata Formation,coniform [S126],,,
335,Chordata,,,Conodonts,Paltodus spp.,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",coniform [S126],,,
337,Chordata,,,Conodonts,Parapaltodus aff. simplicissimus,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",coniform [S126],,,
338,Chordata,,,Conodonts,Parapaltodus spp.,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",coniform [S126],,,
340,Chordata,,,Conodonts,Paroistodus cf. proteus,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",coniform [S126],,,
341,Chordata,,,Conodonts,Periodon cf. primus,nektonic predator (soft diet),[S125],Lower part of the Fezouata Formation,blade with large cusp [S126],,,
344,Chordata,,,Conodonts,Prioniodus sp.,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",blade with large cusp [S126],,,
345,Chordata,,,Conodonts,Protopanderodus cf. leonardii,nektonic predator (soft diet),[S125],Lower part of the Fezouata Formation,coniform [S126],,,
347,Chordata,,,Conodonts,Scolopodus aff. krummi,nektonic predator (soft diet),[S125],Lower part of the Fezouata Formation,coniform [S126],,,
348,Chordata,,,Conodonts,Semiacontiodus cf. cornuformis,nektonic predator (soft diet),[S125],Lower part of the Fezouata Formation,coniform [S126],,,
349,Chordata,,,Conodonts,Semiacontiodus sp.,nektonic predator (soft diet),[S125],"Lower part of the Fezouata Formation, Upper part of the Fezouata Formation",coniform [S126],,,
352,Chordata,,,Conodonts,Tripodus sp.,nektonic predator (soft diet),[S125],Lower part of the Fezouata Formation,coniform [S126],,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
